player,position,team
Mathias Pereira Lage,AT.LT,Brest
Enzo Boyomo,ZG,Osasuna
Sergi Darder,LT.AT,Mallorca
Sergio Akieme,ZG,Reims
Sergio Gómez,LT.ZG,Real Sociedad
Emanuele Valeri,ZG,Parma
Emerson Palmieri,ZG,West Ham
Matt O'Riley,LT,Brighton
Matteo Gabbia,ZG,Milan
Matthias Ginter,ZG,Freiburg
Eric Dier,ZG,Bayern Munich
Eric García,ZG.LT,Barcelona
Emmanuel Gyasi,ZG.AT,Empoli
Sandi Lovrić,LT,Udinese
Alessandro Deiola,LT,Cagliari
Sheraldo Becker,AT.LT,Real Sociedad
Maximilian Eggestein,LT,Freiburg
Melvin Bard,ZG.LT,Nice
Mikel Jauregizar,LT,Athletic Club
Mikkel Damsgaard,LT.AT,Brentford
Antonio Raillo,ZG,Mallorca
Antonio Sanabria,AT,Torino
Anuar,LT.AT,Valladolid
Antoine Hainaut,ZG.AT,Parma
Milos Kerkez,ZG,Bournemouth
Modibo Sagnan,ZG,Montpellier
Danel Sinani,AT.LT,St. Pauli
Ethan Pinnock,ZG,Brentford
Ryan Christie,LT,Bournemouth
Ryan Yates,LT,Nott'ham Forest
Sergi,ZG,Leganés
Ezri Konsa,ZG,Aston Villa
Saúl Coco,ZG,Torino
Alessio Romagnoli,ZG,Lazio
Ibrahima Sissoko,LT,Bochum
Mikael Ellertsson,ZG.LT,Venezia
Nahuel Tenaglia,ZG,Alavés
Morten Frendrup,LT,Genoa
Murillo,ZG,Nott'ham Forest
Hicham Boudaoui,LT,Nice
Nathan Collins,ZG,Brentford
Nathan Tella,LT.AT,Leverkusen
Nicolò Savona,ZG,Juventus
Federico Baschirotto,ZG,Lecce
Rocco Reitz,LT,Gladbach
Rodrigo Bentancur,LT,Tottenham
Romain Perraud,ZG,Betis
Chris Führich,LT.AT,Stuttgart
Angeliño,ZG,Roma
Robert Andrich,LT.ZG,Leverkusen
César Tárrega,ZG,Valencia
Farid El Melali,AT,Angers
Faustino Anjorin,LT,Empoli
Giorgos Kyriakopoulos,ZG,Monza
Niklas Dorsch,LT,Heidenheim
Ola Aina,ZG,Nott'ham Forest
Giuliano Simeone,LT,Atlético Madrid
Granit Xhaka,LT,Leverkusen
Christian Günter,ZG,Freiburg
Andreas Pereira,LT,Fulham
Andrei Ratiu,ZG,Rayo Vallecano
Christoph Baumgartner,LT,RB Leipzig
Pablo Fornals,LT.AT,Betis
Andrea Colpani,AT.LT,Fiorentina
Gerrit Holtmann,ZG.AT,Bochum
Florian Tardieu,LT,Saint-Étienne
Fran Beltrán,LT,Celta Vigo
Finn Porath,ZG.LT,Holstein Kiel
Gianluca Busio,LT,Venezia
Gianluca Mancini,ZG,Roma
Gabriel Gudmundsson,ZG,Lille
Pavel Kadeřábek,ZG,Hoffenheim
Gabriele Zappa,ZG,Cagliari
Gautier Lloris,ZG,Le Havre
Clément Lenglet,ZG,Atlético Madrid
Pedro Porro,ZG,Tottenham
Florian Lejeune,ZG,Rayo Vallecano
Anass Zaroury,AT.LT,Lens
Andrea Cambiaso,ZG.AT,Juventus
Piero Hincapié,ZG,Leverkusen
Pierre Højbjerg,LT,Marseille
Pierre Lees-Melou,LT,Brest
Junior Adamu,AT,Freiburg
Bilal El Khannouss,LT.AT,Leicester City
José Luis García Vayá,LT,Valencia
Jordan Veretout,LT,Lyon
Abde Ezzalzouli,AT.LT,Betis
Aaron Wan-Bissaka,ZG,West Ham
Adam Armstrong,AT.LT,Southampton
Youssouf Fofana,LT,Milan
David López,ZG,Girona
Beñat Prados,LT,Athletic Club
Bertuğ Yıldırım,AT,Getafe
Jordan Zemura,ZG,Udinese
Yannick Gerhardt,LT.ZG,Wolfsburg
Benjamin Bouchouari,LT,Saint-Étienne
Berat Djimsiti,ZG,Atalanta
Adri Embarba,AT.LT,Rayo Vallecano
Dario Essugo,LT,Las Palmas
Darko Brašanac,LT,Leganés
Pervis Estupiñán,ZG,Brighton
Philipp Lienhart,ZG,Freiburg
Philipp Sander,LT,Gladbach
Amir Rrahmani,ZG,Napoli
Pietro Comuzzo,ZG,Fiorentina
Pedro Pereira,ZG,Monza
Ramy Bensebaini,ZG,Dortmund
Florent Hanin,ZG,Angers
Christian Eriksen,LT,Manchester Utd
Andreas Hanche-Olsen,ZG,Mainz 05
